,Unnamed: 0,Make,Model,Vehicle_Type,Engine_Capacity,Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),vehicle_age,Distance_Driven_Last_Month,Fuel_Consumed_Last_Month,CO2 Emissions(g/km)
0,0,ACURA,ILX,1,2.0,4,1,1,9.9,6.7,8.5,33,4,900.0,76.5,196
1,1,ACURA,ILX,1,2.4,4,2,1,11.2,7.7,9.6,29,4,940.0,90.24,221
2,2,ACURA,ILX HYBRID,1,1.5,4,1,1,6.0,5.8,5.9,48,4,850.0,50.15,136
3,3,ACURA,MDX 4WD,1,3.5,6,1,1,12.7,9.1,11.1,25,4,1050.0,116.55,255
4,4,ACURA,RDX AWD,1,3.5,6,1,1,12.1,8.7,10.6,27,4,1050.0,111.3,244
5,5,ACURA,RLX,1,3.5,6,1,1,11.9,7.7,10.0,28,4,1050.0,105.0,230
6,6,ACURA,TL,1,3.5,6,1,1,11.8,8.1,10.1,28,4,1050.0,106.05,232
7,7,ACURA,TL AWD,1,3.7,6,1,1,12.8,9.0,11.1,25,4,1070.0,118.77,255
8,8,ACURA,TL AWD,1,3.7,6,2,1,13.4,9.5,11.6,24,4,1070.0,124.12,267
9,9,ACURA,TSX,1,2.4,4,1,1,10.6,7.5,9.2,31,4,940.0,86.48,212
10,10,ACURA,TSX,1,2.4,4,2,1,11.2,8.1,9.8,29,4,940.0,92.12,225
11,11,ACURA,TSX,1,3.5,6,1,1,12.1,8.3,10.4,27,4,1050.0,109.2,239
12,12,ALFA ROMEO,4C,1,1.8,4,1,1,9.7,6.9,8.4,34,4,880.0,73.92,193
13,13,ASTON MARTIN,DB9,1,5.9,12,1,1,18.0,12.6,15.6,18,6,1190.0,185.64,359
14,14,ASTON MARTIN,RAPIDE,1,5.9,12,1,1,18.0,12.6,15.6,18,6,1190.0,185.64,359
15,15,ASTON MARTIN,V8 VANTAGE,1,4.7,8,1,1,17.4,11.3,14.7,19,5,1170.0,171.99,338
16,16,ASTON MARTIN,V8 VANTAGE,1,4.7,8,2,1,18.1,12.2,15.4,18,5,1170.0,180.18,354
17,17,ASTON MARTIN,V8 VANTAGE S,1,4.7,8,1,1,17.4,11.3,14.7,19,5,1170.0,171.99,338
18,18,ASTON MARTIN,V8 VANTAGE S,1,4.7,8,2,1,18.1,12.2,15.4,18,5,1170.0,180.18,354
19,19,ASTON MARTIN,VANQUISH,1,5.9,12,1,1,18.0,12.6,15.6,18,6,1190.0,185.64,359
20,20,AUDI,A4,1,2.0,4,1,1,9.9,7.4,8.8,32,4,900.0,79.2,202
21,21,AUDI,A4 QUATTRO,1,2.0,4,1,1,11.5,8.1,10.0,28,4,900.0,90.0,230
22,22,AUDI,A4 QUATTRO,1,2.0,4,2,1,10.8,7.5,9.3,30,4,900.0,83.7,214
